iter	Passed	Remaining
0	2	233
1	4	218
2	6	205
3	8	209
4	12	228
5	14	229
6	17	229
7	19	222
8	21	216
9	23	213
10	26	210
11	28	206
12	30	202
13	32	197
14	34	193
15	36	190
16	38	187
17	40	183
18	42	181
19	44	178
20	46	173
21	47	167
22	48	162
23	50	159
24	51	155
25	53	151
26	54	147
27	55	143
28	57	140
29	58	136
30	59	133
31	61	129
32	62	126
33	63	123
34	64	120
35	66	117
36	67	115
37	68	112
38	70	109
39	71	107
40	72	104
41	73	101
42	74	99
43	76	97
44	77	95
45	79	92
46	80	90
47	81	88
48	83	86
49	84	84
50	85	82
51	87	80
52	88	78
53	89	76
54	90	74
55	92	72
56	93	70
57	94	68
58	96	66
59	97	64
60	98	63
61	99	61
62	101	59
63	102	57
64	103	55
65	105	54
66	106	52
67	108	50
68	109	49
69	110	47
70	111	45
71	113	44
72	114	42
73	115	40
74	117	39
75	118	37
76	120	35
77	121	34
78	122	32
79	123	30
80	124	29
81	126	27
82	127	26
83	128	24
84	129	22
85	131	21
86	132	19
87	134	18
88	136	16
89	138	15
90	139	13
91	141	12
92	142	10
93	143	9
94	144	7
95	146	6
96	147	4
97	148	3
98	150	1
99	151	0
