iter	Passed	Remaining
0	146	146335
1	148	73948
2	149	49767
3	152	38062
4	154	30728
5	155	25815
6	159	22604
7	161	20009
8	162	17926
9	164	16280
10	165	14909
11	167	13768
12	168	12800
13	170	11983
14	172	11345
15	174	10734
16	176	10212
17	178	9715
18	179	9277
19	181	8872
20	183	8547
21	185	8238
22	187	7961
23	189	7696
24	190	7436
25	192	7207
26	193	6983
27	195	6790
28	197	6596
29	198	6414
30	201	6287
31	203	6161
32	205	6011
33	206	5874
34	208	5758
35	210	5636
36	211	5514
37	213	5398
38	216	5324
39	217	5228
40	219	5130
41	220	5034
42	222	4943
43	223	4860
44	225	4779
45	226	4698
46	228	4635
47	230	4574
48	232	4513
49	234	4454
50	236	4392
51	237	4336
52	239	4275
53	240	4217
54	242	4162
55	244	4120
56	245	4068
57	248	4027
58	249	3981
59	250	3932
60	252	3890
61	254	3844
62	255	3799
63	257	3759
64	259	3735
65	261	3699
66	263	3662
67	264	3623
68	266	3589
69	267	3551
70	268	3515
71	270	3481
72	271	3447
73	274	3429
74	275	3398
75	276	3367
76	278	3335
77	279	3305
78	280	3275
79	282	3246
80	283	3217
81	284	3189
82	285	3156
83	288	3143
84	289	3121
85	291	3096
86	292	3072
87	294	3048
88	295	3024
89	296	3000
90	298	2977
91	299	2956
92	300	2934
93	303	2925
94	304	2904
95	306	2885
96	307	2864
97	309	2844
98	310	2824
99	311	2805
100	313	2787
101	314	2768
102	315	2751
103	319	2750
104	320	2732
105	321	2715
106	323	2698
107	324	2680
108	326	2665
109	327	2648
110	328	2632
111	330	2616
112	331	2601
113	333	2592
114	335	2579
115	336	2565
116	337	2549
117	339	2537
118	341	2524
119	342	2514
120	344	2504
121	346	2491
122	348	2487
123	350	2474
124	351	2461
125	353	2449
126	354	2434
127	355	2422
128	356	2409
129	358	2400
130	360	2390
131	362	2386
132	365	2380
133	366	2370
134	368	2362
135	370	2351
136	371	2342
137	373	2333
138	375	2323
139	382	2347
140	383	2339
141	384	2326
142	386	2319
143	388	2309
144	389	2299
145	393	2299
146	395	2292
147	396	2283
148	398	2274
149	400	2268
150	401	2258
151	403	2248
152	404	2239
153	407	2235
154	408	2228
155	410	2220
156	412	2215
157	414	2208
158	415	2199
159	417	2190
160	419	2183
161	424	2194
162	427	2193
163	429	2188
164	430	2180
165	433	2177
166	435	2170
167	439	2175
168	441	2170
169	443	2166
170	446	2164
171	448	2156
172	449	2148
173	451	2141
174	455	2145
175	456	2138
176	459	2136
177	461	2129
178	463	2124
179	464	2117
180	468	2118
181	469	2112
182	473	2114
183	475	2109
184	477	2102
185	479	2096
186	481	2093
187	486	2101
188	488	2095
189	490	2090
190	492	2085
191	493	2077
192	495	2070
193	498	2071
194	500	2065
195	502	2059
196	503	2052
197	507	2056
198	509	2049
199	510	2042
200	513	2041
201	515	2036
202	516	2029
203	518	2022
204	520	2017
205	522	2013
206	524	2009
207	527	2007
208	529	2004
209	531	2001
210	534	1997
211	535	1990
212	537	1984
213	538	1977
214	539	1970
215	542	1969
216	545	1967
217	546	1961
218	548	1954
219	551	1954
220	553	1949
221	554	1943
222	557	1943
223	559	1938
224	561	1933
225	562	1928
226	564	1923
227	566	1917
228	567	1912
229	569	1905
230	573	1910
231	575	1905
232	577	1901
233	579	1897
234	581	1892
235	582	1886
236	584	1883
237	587	1880
238	588	1875
239	590	1869
240	592	1866
241	594	1860
242	596	1858
243	598	1854
244	599	1848
245	602	1847
246	606	1847
247	607	1842
248	609	1836
249	612	1837
250	613	1831
251	615	1825
252	617	1824
253	620	1821
254	622	1817
255	624	1813
256	625	1808
257	626	1803
258	628	1797
259	629	1792
260	632	1791
261	634	1787
262	635	1782
263	637	1777
264	638	1772
265	640	1766
266	641	1761
267	642	1755
268	644	1751
269	647	1750
270	649	1746
271	650	1741
272	651	1736
273	653	1730
274	654	1725
275	655	1720
276	657	1715
277	658	1710
278	660	1705
279	662	1703
280	664	1701
281	666	1696
282	667	1691
283	668	1686
284	670	1681
285	671	1676
286	672	1671
287	674	1666
288	677	1666
289	678	1662
290	680	1657
291	681	1652
292	683	1648
293	684	1643
